original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,case,strategy
57.0,193.0,206391160.0,2.6998965658053944,82.0,2.288543630006134,253.0,43.47616575435777,110.35129140731202,94.0,42.0,211.0,34.03372625852051,121.51742648502533,0.7167893190850995,132090342.40000002,0.19010660759641157,2589.0774242820416,19.69379817042426,640.8210864108263,49.126522385098816,16.68312602835038,0.13858676078657353,0.9835228715977047,0.1385867607865735,0.5805256656735546,0.11938047052125857,0.9307066196067133,0.9307066196067133,0.9986278538535983,0.9874012035648569,-0.7519925084304142,0.9913361337743644,0.1385867607865735,3.944320391846143,0.15741524741432383,3.368814347159993,0.9847127816453322,0.32348915940358713,7.888640783692286,3.2302275863734224,4.205428197284237,3.546508451393816,8301.751806539314,0.5939580601373194,0.23242213727087668,2657.1200543750447,4.18802488039701,19.74243399871217,7.583243900693997,140.71989697359948,1.0924479927345454,0.135269318439286,0.15948025724801856,3.505365958360163,0.01919944537325101,288.55004955401387,0.14298813159267287,3.6796681698214586,26.192765113974232,125.95589692765114,1535.7304261645193,24.077266399691137,0.08801062046519595,6.57710019126905,209.46878097125867,0.10380018878655038,0.14438005294412248,77.98414197887989,0.17618648031180845,5.408566117333416,0.01226188630956768,288.55004955401387,0.14298813159267287,3.6796681698214586,26.192765113974232,125.95589692765114,1535.7304261645193,24.077266399691137,0.08801062046519595,209.46878097125867,0.10380018878655038,0.17618648031180845,5.408566117333416,0.01226188630956768,6.57710019126905,0.14438005294412248,77.98414197887989,10.54923815726171,0.003886746810716654,5.453330006674297,0.012631359770596344,0.15666260056952516,S003T1.nii,mipax_slab5
51.0,178.0,149588419.0,2.553919165141956,72.0,2.8469814396187956,240.0,41.15793269099517,95.69165892912412,74.0,31.0,209.0,30.026503650843317,107.58469956130699,1.0277469495892495,95736588.16000001,0.2383597401220247,2417.5739910888706,15.19164848862574,686.1330830248671,61.07581896360591,15.466053783128453,0.11693674041757558,0.9849917459372277,0.11693674041757557,0.5204910443844313,0.1032625391580881,0.9415316297912122,0.9415316297912122,0.9985739421900295,0.9883063259582424,-0.7704532677606649,0.9901680709325611,0.11693674041757557,3.369624493611717,0.2088134849244213,3.1390061906875224,0.9865785940086338,0.41477095668432534,6.739248987223434,3.0220694502699494,3.895747630886507,3.3110078940397045,8201.209068399876,0.6345720418136704,0.20415758684846705,3080.561281337047,3.8820531017176245,15.241101826060044,7.789229340761374,110.34787991333953,1.7295979671020316,0.21127869625029994,0.15098524708552563,2.6080160940885175,0.029248045832139052,221.3650094398993,0.13931089329131485,3.926401657715232,22.229074889867842,194.02517306482065,1611.3895531780995,48.934731484236465,0.14225537593425827,6.692906645527227,151.21145374449338,0.09516139316834071,0.12294955122253172,127.8726970071539,0.15338395706957425,4.113384889544711,0.01884226864263196,221.3650094398993,0.13931089329131485,3.926401657715232,22.229074889867842,194.02517306482065,1611.3895531780995,48.934731484236465,0.14225537593425827,151.21145374449338,0.09516139316834071,0.15338395706957425,4.113384889544711,0.01884226864263196,6.692906645527227,0.12294955122253172,127.8726970071539,11.275668568963802,0.004753744346100837,3.4633615114494667,0.012348770999995881,0.16059625084694723,S003T1.nii,neigh1
49.0,174.0,141840557.0,2.5653454828631252,69.0,2.850370690897813,237.0,40.27732264934606,93.03087279480037,72.0,29.0,208.0,29.368351235256576,104.7615075312924,1.0287292535632853,90777956.48000002,0.23055623327902927,2320.230167266703,14.33990339669679,643.0680012524455,57.37527939240283,14.951950468265627,0.11826114054222499,0.9843053112176463,0.118261140542225,0.5243418264153812,0.1042754431798771,0.9408694297288874,0.9408694297288874,0.9985577909689972,0.9881738859457775,-0.7692731576786791,0.9902855552213439,0.118261140542225,3.2605952009971952,0.20011966771936324,3.1564079279902892,0.98590968047777,0.400903708320349,6.5211904019943905,3.038146787448067,3.7675529022019623,3.3258433545824952,8151.479263385949,0.6307241769874612,0.20208310642768268,2979.708758898174,3.7532997170516467,14.388347260909935,7.772670999690498,103.8078768183225,1.954578004537097,0.2382431218773489,0.1503103614292101,2.458169985212696,0.03241254236367367,227.3711083437111,0.14157603259259718,3.795475869598594,21.023661270236612,174.98879202988792,1421.1936488169365,50.487432529524426,0.15421285726365636,6.682569913765416,151.23785803237857,0.09417052181343623,0.12426493345713402,110.22939195947949,0.1403916665854692,3.7387512363879054,0.015264395566603058,227.3711083437111,0.14157603259259718,3.795475869598594,21.023661270236612,174.98879202988792,1421.1936488169365,50.487432529524426,0.15421285726365636,151.23785803237857,0.09417052181343623,0.1403916665854692,3.7387512363879054,0.015264395566603058,6.682569913765416,0.12426493345713402,110.22939195947949,11.629614967913994,0.004630805750884579,3.6012541150650295,0.012104581969453895,0.16126936332271785,S003T1.nii,same_rgb
138.0,179.0,21975855.0,1.516256137659931,19.0,3.7216705513778807,217.0,12.423487862984627,160.99046483909416,163.0,114.0,103.0,8.067053849655126,161.84225092216138,0.14261993395628955,14064547.200000003,0.4380335293307061,274.98441444423446,9.132425742574258,12.019751022293761,0.6899263654201511,1.7802038403097735,0.1745049504950495,0.8214517156561209,0.1745049504950495,0.6679071645236405,0.1440529727477698,0.9127475247524753,0.9127475247524753,0.9932882711348059,0.9709158415841584,-0.49280738594909806,0.8795228844207669,0.1745049504950495,2.9548267326732676,0.33487142804627,2.271272038965986,0.8317887899249323,0.5408415841584159,5.909653465346534,2.096767088470938,0.48867719770120577,2.557853466921768,425.6984505363528,0.507387902903877,0.3157996422894046,367.5101311084625,0.49414351894601805,9.175208581644815,7.023837902264601,64.42193087008343,0.9486875910475433,0.14464706661369356,0.1906370017216263,1.6739504701364059,0.034195581159228355,53.83720930232558,0.31300703082747433,0.7932328285559763,9.075581395348838,42.18023255813954,376.86046511627904,5.469615633074936,0.18442344961240312,4.887848076201962,20.91860465116279,0.1216197944835046,0.20500595947556616,18.38625608436993,0.2603967968946075,1.9244991048094113,0.07503175163353325,53.83720930232558,0.31300703082747433,0.7932328285559763,9.075581395348838,42.18023255813954,376.86046511627904,5.469615633074936,0.18442344961240312,20.91860465116279,0.1216197944835046,0.2603967968946075,1.9244991048094116,0.07503175163353325,4.887848076201962,0.20500595947556616,18.38625608436993,3.06369982547993,0.01991360486091332,1.7112602192747535,0.008687266870624275,0.16928950930284234,S007T1.nii,mipax_slab5
124.0,178.0,19478773.0,1.8084700167570393,28.0,2.9810544960376264,224.0,16.49616245239943,153.38376383763838,156.0,103.0,121.0,11.810124040488859,154.7873715175234,0.04076064637258134,12466414.720000003,0.34301306112692126,432.5513723033909,7.785166240409207,25.095496993389155,-0.518288274327876,2.9086168326999426,0.16240409207161127,0.8942344607543223,0.16240409207161127,0.6400300103785572,0.1360290029500069,0.9187979539641943,0.9187979539641943,0.9937536887664764,0.9729326513213981,-0.5863683722473665,0.9384646998953404,0.16240409207161127,2.6643222506393864,0.2577797437222415,2.563006111290313,0.8963384448152064,0.4398976982097187,5.328644501278773,2.400602019218703,0.7677552311928886,2.869668427544205,422.92865928659285,0.5202074529970392,0.29664931335660216,278.869618696187,0.7646440302041397,7.856088560885609,7.115621156211562,55.86838868388684,1.661719967199672,0.237619926199262,0.18313516468498017,1.4113024463577966,0.04828549952166188,45.35443037974684,0.28705335683384076,0.9301794584201251,7.829113924050633,41.639240506329116,324.4367088607595,9.762362869198311,0.2587042897327707,5.0178921747867955,18.189873417721518,0.11512578112481973,0.1943419434194342,15.16235378945682,0.2166251391847595,1.525675874621601,0.0810070264041341,45.35443037974684,0.28705335683384076,0.9301794584201251,7.829113924050633,41.639240506329116,324.4367088607595,9.762362869198311,0.2587042897327707,18.189873417721518,0.11512578112481973,0.2166251391847595,1.525675874621601,0.0810070264041341,5.017892174786795,0.1943419434194342,15.16235378945682,2.9275816249050877,0.026357594423731555,1.5340637742840513,0.012273806388885639,0.2205539296772278,S007T1.nii,neigh1
122.0,176.0,19086777.0,1.800349515697478,27.0,2.9902867790511545,223.0,16.337773783641897,151.8290282902829,154.0,102.0,121.0,11.742809941493777,153.2219647429989,0.06228704040879427,12215537.280000003,0.34075879504182494,424.9166481332709,7.4718670076726355,24.252413940208797,-0.7745549164319216,2.919468410070578,0.159846547314578,0.8961804495306879,0.159846547314578,0.6339423206903039,0.13429562862618638,0.920076726342711,0.920076726342711,0.9938520558725162,0.9733589087809036,-0.5897068600241816,0.9386758267625175,0.159846547314578,2.604219948849105,0.25559667322950536,2.546457078176875,0.8999137776043337,0.43350383631713557,5.20843989769821,2.3866105308622982,0.7698287393462889,2.857588883795601,425.41328413284134,0.523263572119116,0.2930697203651003,277.0369003690037,0.7661478828810429,7.533825338253383,7.137761377613776,53.75522755227552,1.80863229465628,0.2554205958726254,0.1817001503348367,1.349528495284953,0.04971717309765689,45.833333333333336,0.2938034188034188,0.8722879684418146,7.512820512820513,43.967948717948715,326.4935897435897,11.504677706552707,0.26751780626780625,4.983915076924729,18.294871794871796,0.11727481919789612,0.1918819188191882,16.807815581854044,0.21375291810734603,1.4679543059390256,0.07690273402819267,45.833333333333336,0.2938034188034188,0.8722879684418146,7.512820512820513,43.967948717948715,326.4935897435897,11.504677706552705,0.26751780626780625,18.294871794871796,0.11727481919789612,0.21375291810734603,1.4679543059390256,0.07690273402819267,4.9839150769247285,0.1918819188191882,16.807815581854044,3.0069734345351042,0.025651947560225284,1.5669942970472504,0.012297945721522275,0.22413557468908024,S007T1.nii,same_rgb
83.0,120.0,43669673.0,1.3282537430624881,18.0,3.572893443572108,148.0,11.16852143772604,98.69635535307518,96.0,51.0,97.0,7.5972714733928255,99.7373235703869,0.808002482294788,27948590.720000006,0.4593150720471562,206.56315300356474,6.447508690614136,7.4952572967103785,1.723418306612143,1.5897362000835158,0.07045191193511008,0.9151277961514279,0.07045191193511008,0.3676078391755067,0.06548844003979756,0.9647740440324449,0.9647740440324449,0.99585576988617,0.9859096176129779,-0.7001792374960902,0.9176736562849545,0.07045191193511008,2.4632676709154113,0.4099180282745388,1.7134225902041218,0.917498133374913,0.5640787949015064,4.926535341830823,1.6429706782690128,0.4150470280046564,1.9872330193609846,3161.748519362187,0.7202160636360334,0.15469699721358857,2016.393166287016,0.41821290881637185,6.462642369020501,8.148519362186788,51.971070615034165,1.6242122247532271,0.20027208301695773,0.13871171855226525,0.9154517843583903,0.028946697741781262,137.5593667546174,0.3629534742865895,0.5751004239736566,7.261213720316623,315.5514511873351,1652.2717678100264,70.1492231017297,0.21251099384344768,6.0288311463767945,21.654353562005277,0.05713549752507989,0.08633257403189067,181.38293384200887,0.12538626446597176,0.8488634541842826,0.043844700745882585,137.5593667546174,0.3629534742865895,0.5751004239736566,7.261213720316623,315.5514511873351,1652.2717678100264,70.1492231017297,0.21251099384344768,21.654353562005277,0.05713549752507989,0.12538626446597176,0.8488634541842826,0.043844700745882585,6.0288311463767945,0.08633257403189067,181.38293384200887,13.960810443296166,0.008551853648368817,0.4360309494569434,0.004945836032509485,0.04288749053920153,S008T1.nii,mipax_slab5
84.0,120.0,42488193.0,1.4444538834558596,16.0,4.15670983630134,155.0,11.118483412322275,99.23341232227489,97.0,42.0,113.0,7.114735016872221,100.34087990492601,0.5381115562650584,27192443.520000007,0.4361041980189124,221.02205897217047,12.35150784077201,10.473321540122374,1.6258798555590153,1.7919755078640527,0.06755126658624849,0.9273457446115904,0.06755126658624849,0.3567182861047572,0.06298809296884207,0.9662243667068757,0.9662243667068757,0.9981742900922635,0.9903498190591074,-0.72725019101694,0.9356806488626525,0.06755126658624849,3.452593486127865,0.3920929048179605,1.8230950288852852,0.9348725229650463,0.5433051869722557,6.90518697225573,1.7555437622990384,0.4648816936125754,2.084192410965671,3068.830805687204,0.727211091395072,0.15368365490442712,1840.3597156398105,0.47001521753779113,12.326777251184835,8.172511848341232,100.65758293838863,0.7650140863612427,0.09535781990521328,0.13867825171142706,1.6935229067930493,0.014207942045521034,114.08169014084507,0.3213568736361833,0.7814005157706804,12.36056338028169,323.1380281690141,3611.0338028169012,31.738599374021906,0.1144475743348983,6.163249615869518,19.55211267605634,0.055076373735369964,0.08412322274881516,181.82955762745488,0.13423601096119941,1.281460974318814,0.02582893431052787,114.08169014084507,0.3213568736361833,0.7814005157706804,12.36056338028169,323.1380281690141,3611.0338028169012,31.738599374021906,0.1144475743348983,19.55211267605634,0.055076373735369964,0.13423601096119941,1.281460974318814,0.02582893431052787,6.163249615869518,0.08412322274881516,181.82955762745488,3.9987738470432457,0.009840213126890948,1.0573560166352807,0.0021533082636012546,0.14027128615786894,S008T1.nii,neigh1
80.0,116.0,39120196.0,1.3377225441648732,16.0,4.077933252073101,147.0,11.180593427820579,95.12511848341232,93.0,38.0,109.0,7.116284963285401,96.28181876965358,0.486259071081446,25036925.440000005,0.4922472541048045,221.40045910918445,11.340410132689989,9.555507629093675,1.31361225151905,1.5534096481438104,0.06441495778045839,0.9203684286361088,0.06441495778045839,0.3447268757826976,0.06026567099460015,0.9677925211097709,0.9677925211097709,0.9975225016238285,0.9892641737032569,-0.7194048450134527,0.9223957017308824,0.06441495778045839,3.311821471652593,0.45217689282216866,1.6933507684045286,0.9294253422637063,0.6265379975874548,6.623642943305186,1.6289358106240714,0.40445615148106706,1.9498101588247496,3108.0682464454976,0.7365090631387435,0.1509795377462321,2077.2834123222747,0.41112935468655243,11.319905213270141,8.20473933649289,92.73601895734598,0.8352777777777778,0.10438138493944182,0.1382569773565034,1.5619799894681412,0.015423669621438183,104.91812865497076,0.30677815396190283,0.819636811326562,11.467836257309942,375.0643274853801,3851.3625730994154,38.981574074074075,0.1319704353476283,6.190411935966831,19.678362573099417,0.05753907185116788,0.08104265402843602,222.8089326630416,0.14848299682908994,1.4915053370224767,0.027334950924647498,104.91812865497076,0.30677815396190283,0.819636811326562,11.467836257309942,375.0643274853801,3851.3625730994154,38.981574074074075,0.1319704353476283,19.678362573099417,0.05753907185116788,0.14848299682908994,1.4915053370224767,0.027334950924647498,6.190411935966831,0.08104265402843602,222.8089326630416,4.901964145768025,0.010541724746074331,0.6648602220192718,0.0026937740893562025,0.0905187559455962,S008T1.nii,same_rgb
70.0,191.0,158745951.0,2.8295774265858724,62.0,2.508424024497769,255.0,35.93139504249762,137.803324099723,144.0,27.0,228.0,25.942644706996397,144.70651356885108,-0.3251005577540104,101597408.64000002,0.16029616804735825,1950.218936318782,28.49533582089552,401.9165423741959,-14.22092851628825,12.603351684361092,0.14965351812366737,0.97653047015232,0.14965351812366737,0.6089725540752609,0.12725734263687655,0.9251732409381663,0.9251732409381663,0.9985182819987756,0.9863951347160302,-0.7366919867535136,0.9921949926676046,0.14965351812366737,5.038046375266525,0.11828072469380936,3.570082409189918,0.9794889593587446,0.210954157782516,10.07609275053305,3.4204288910662535,3.18825130062119,3.796391008287745,4324.92560348239,0.5704953968450587,0.24880698820761105,1215.2052499670228,3.208836279912425,28.461416699643845,7.449544914918876,211.201424614167,0.667014728107847,0.08861774894214623,0.16499582289055975,4.789781471221914,0.014150406333720065,189.92333333333335,0.15826944444444443,3.165299305555555,29.115833333333335,69.3225,1972.7083333333333,5.899168782937558,0.08375629724111867,6.623869298430998,105.73833333333333,0.08811527777777778,0.15829046299960428,29.411693750000005,0.17236884612665168,5.635723867655427,0.011860694541137284,189.92333333333335,0.15826944444444443,3.165299305555555,29.115833333333335,69.3225,1972.7083333333333,5.899168782937558,0.08375629724111867,105.73833333333333,0.08811527777777778,0.17236884612665168,5.635723867655427,0.011860694541137284,6.623869298430998,0.15829046299960428,29.411693750000005,3.4901156900468697,0.00555714991000144,5.866435111578931,0.010563024937612023,0.20809040927293632,S014T1.nii,mipax_slab5
